name,score_calc,pos,match,name_lower,score_excel,diff,abs_diff
Giovanni Di Lorenzo,36,DEF,Napoli vs Eintracht Frankfurt,giovanni di lorenzo,37,-1,1
Amir Rrahmani,44,DEF,Napoli vs Eintracht Frankfurt,amir rrahmani,43,1,1
Alessandro Buongiorno,37,DEF,Napoli vs Eintracht Frankfurt,alessandro buongiorno,37,0,0
Miguel Gutiérrez,45,DEF,Napoli vs Eintracht Frankfurt,miguel gutiérrez,46,-1,1
Stanislav Lobotka,26,MID,Napoli vs Eintracht Frankfurt,stanislav lobotka,27,-1,1
Scott McTominay,28,MID,Napoli vs Eintracht Frankfurt,scott mctominay,26,2,2
Matteo Politano,17,FWD,Napoli vs Eintracht Frankfurt,matteo politano,17,0,0
Rasmus Højlund,11,FWD,Napoli vs Eintracht Frankfurt,rasmus højlund,10,1,1
Rasmus Kristensen,27,DEF,Napoli vs Eintracht Frankfurt,rasmus kristensen,27,0,0
Nnamdi Collins,33,DEF,Napoli vs Eintracht Frankfurt,nnamdi collins,35,-2,2
Robin Koch,38,DEF,Napoli vs Eintracht Frankfurt,robin koch,40,-2,2
Arthur Theate,30,DEF,Napoli vs Eintracht Frankfurt,arthur theate,31,-1,1
Nathaniel Brown,45,DEF,Napoli vs Eintracht Frankfurt,nathaniel brown,46,-1,1
Mario Götze,22,MID,Napoli vs Eintracht Frankfurt,mario götze,22,0,0
Hugo Larsson,16,MID,Napoli vs Eintracht Frankfurt,hugo larsson,16,0,0
Jonathan Burkardt,20,FWD,Napoli vs Eintracht Frankfurt,jonathan burkardt,21,-1,1
David Zima,13,DEF,Slavia Praha vs Arsenal,david zima,14,-1,1
David Moses,11,MID,Slavia Praha vs Arsenal,david moses,11,0,0
Christos Zafeiris,9,MID,Slavia Praha vs Arsenal,christos zafeiris,10,-1,1
Michal Sadílek,27,MID,Slavia Praha vs Arsenal,michal sadílek,25,2,2
Youssoupha Mbodji,35,MID,Slavia Praha vs Arsenal,youssoupha mbodji,34,1,1
Youssoupha Sanyang,33,FWD,Slavia Praha vs Arsenal,youssoupha sanyang,30,3,3
Jurriën Timber,24,DEF,Slavia Praha vs Arsenal,jurriën timber,27,-3,3
William Saliba,26,DEF,Slavia Praha vs Arsenal,william saliba,26,0,0
Gabriel Magalhães,28,DEF,Slavia Praha vs Arsenal,gabriel magalhães,31,-3,3
Piero Hincapié,34,DEF,Slavia Praha vs Arsenal,piero hincapié,34,0,0
Ethan Nwaneri,25,MID,Slavia Praha vs Arsenal,ethan nwaneri,24,1,1
Christian Nørgaard,23,MID,Slavia Praha vs Arsenal,christian nørgaard,22,1,1
Declan Rice,49,MID,Slavia Praha vs Arsenal,declan rice,48,1,1
Bukayo Saka,57,FWD,Slavia Praha vs Arsenal,bukayo saka,52,5,5
Mikel Merino,59,FWD,Slavia Praha vs Arsenal,mikel merino,59,0,0
Leandro Trossard,36,FWD,Slavia Praha vs Arsenal,leandro trossard,36,0,0
Nahuel Molina,18,DEF,Atletico Madrid vs Union SG,nahuel molina,20,-2,2
Robin Le Normand,15,DEF,Atletico Madrid vs Union SG,robin le normand,15,0,0
Dávid Hancko,23,DEF,Atletico Madrid vs Union SG,dávid hancko,23,0,0
Matteo Ruggeri,36,DEF,Atletico Madrid vs Union SG,matteo ruggeri,36,0,0
Giuliano Simeone,26,MID,Atletico Madrid vs Union SG,giuliano simeone,25,1,1
Pablo Barrios,41,MID,Atletico Madrid vs Union SG,pablo barrios,41,0,0
Koke,24,MID,Atletico Madrid vs Union SG,koke,24,0,0
Antoine Griezmann,22,FWD,Atletico Madrid vs Union SG,antoine griezmann,21,1,1
Kevin Mac Allister,29,DEF,Atletico Madrid vs Union SG,kevin mac allister,29,0,0
Christian Burgess,6,DEF,Atletico Madrid vs Union SG,christian burgess,8,-2,2
Ross Sykes,27,DEF,Atletico Madrid vs Union SG,ross sykes,23,4,4
Anan Khalaili,33,DEF,Atletico Madrid vs Union SG,anan khalaili,34,-1,1
Adem Zorgane,23,MID,Atletico Madrid vs Union SG,adem zorgane,23,0,0
Kamiel Van de Perre,18,MID,Atletico Madrid vs Union SG,kamiel van de perre,19,-1,1
Rob Schoofs,3,MID,Atletico Madrid vs Union SG,rob schoofs,3,0,0
Ousseynou Niang,7,DEF,Atletico Madrid vs Union SG,ousseynou niang,7,0,0
Anouar Ait El Hadj,17,FWD,Atletico Madrid vs Union SG,anouar ait el hadj,16,1,1
Fredrik Sjøvold,22,DEF,Bodo/Glimt vs Monaco,fredrik sjøvold,23,-1,1
Brede Moe,18,DEF,Bodo/Glimt vs Monaco,brede moe,18,0,0
Håkon Evjen,32,MID,Bodo/Glimt vs Monaco,håkon evjen,33,-1,1
Patrick Berg,37,MID,Bodo/Glimt vs Monaco,patrick berg,37,0,0
Sondre Auklend,25,FWD,Bodo/Glimt vs Monaco,sondre auklend,23,2,2
Jens Petter Hauge,52,FWD,Bodo/Glimt vs Monaco,jens petter hauge,53,-1,1
Thilo Kehrer,35,DEF,Bodo/Glimt vs Monaco,thilo kehrer,38,-3,3
Mohammed Salisu,26,DEF,Bodo/Glimt vs Monaco,mohammed salisu,27,-1,1
Mamadou Coulibaly,32,MID,Bodo/Glimt vs Monaco,mamadou coulibaly,33,-1,1
Jordan Teze,26,FWD,Bodo/Glimt vs Monaco,jordan teze,27,-1,1
Takumi Minamino,19,MID,Bodo/Glimt vs Monaco,takumi minamino,19,0,0
Aleksandr Golovin,31,MID,Bodo/Glimt vs Monaco,aleksandr golovin,30,1,1
Kassoum Ouattara,29,FWD,Bodo/Glimt vs Monaco,kassoum ouattara,30,-1,1
Maghnes Akliouche,29,FWD,Bodo/Glimt vs Monaco,maghnes akliouche,27,2,2
Folarin Balogun,31,FWD,Bodo/Glimt vs Monaco,folarin balogun,31,0,0
Pierre Kalulu,35,DEF,Juventus vs Sporting CP,pierre kalulu,35,0,0
Federico Gatti,22,DEF,Juventus vs Sporting CP,federico gatti,22,0,0
Teun Koopmeiners,22,DEF,Juventus vs Sporting CP,teun koopmeiners,22,0,0
Weston McKennie,30,DEF,Juventus vs Sporting CP,weston mckennie,30,0,0
Manuel Locatelli,28,MID,Juventus vs Sporting CP,manuel locatelli,29,-1,1
Khéphren Thuram,40,MID,Juventus vs Sporting CP,khéphren thuram,42,-2,2
Andrea Cambiaso,27,DEF,Juventus vs Sporting CP,andrea cambiaso,27,0,0
Francisco Conceição,23,MID,Juventus vs Sporting CP,francisco conceição,22,1,1
Ousmane Diomande,32,DEF,Juventus vs Sporting CP,ousmane diomande,32,0,0
Gonçalo Inácio,27,DEF,Juventus vs Sporting CP,gonçalo inácio,28,-1,1
Morten Hjulmand,25,MID,Juventus vs Sporting CP,morten hjulmand,26,-1,1
João Simões,14,MID,Juventus vs Sporting CP,joão simões,14,0,0
Geovany Quenda,16,FWD,Juventus vs Sporting CP,geovany quenda,17,-1,1
Fotis Ioannidis,9,FWD,Juventus vs Sporting CP,fotis ioannidis,9,0,0
Conor Bradley,36,DEF,Liverpool vs Real Madrid,conor bradley,37,-1,1
Ibrahima Konaté,27,DEF,Liverpool vs Real Madrid,ibrahima konaté,27,0,0
Virgil van Dijk,21,DEF,Liverpool vs Real Madrid,virgil van dijk,22,-1,1
Ryan Gravenberch,22,MID,Liverpool vs Real Madrid,ryan gravenberch,23,-1,1
Alexis Mac Allister,39,MID,Liverpool vs Real Madrid,alexis mac allister,39,0,0
Mohamed Salah,38,FWD,Liverpool vs Real Madrid,mohamed salah,37,1,1
Dominik Szoboszlai,38,MID,Liverpool vs Real Madrid,dominik szoboszlai,39,-1,1
Florian Wirtz,38,FWD,Liverpool vs Real Madrid,florian wirtz,38,0,0
Federico Valverde,28,DEF,Liverpool vs Real Madrid,federico valverde,28,0,0
Éder Militão,36,DEF,Liverpool vs Real Madrid,éder militão,37,-1,1
Dean Huijsen,27,DEF,Liverpool vs Real Madrid,dean huijsen,23,4,4
Álvaro Carreras,26,DEF,Liverpool vs Real Madrid,álvaro carreras,27,-1,1
Aurélien Tchouaméni,33,MID,Liverpool vs Real Madrid,aurélien tchouaméni,35,-2,2
Eduardo Camavinga,12,MID,Liverpool vs Real Madrid,eduardo camavinga,11,1,1
Arda Güler,21,MID,Liverpool vs Real Madrid,arda güler,21,0,0
Jude Bellingham,27,MID,Liverpool vs Real Madrid,jude bellingham,27,0,0
Kylian Mbappé,28,FWD,Liverpool vs Real Madrid,kylian mbappé,26,2,2
Rodinei,42,DEF,Olympiacos vs PSV,rodinei,40,2,2
Panagiotis Retsos,36,DEF,Olympiacos vs PSV,panagiotis retsos,36,0,0
Lorenzo Pirola,36,DEF,Olympiacos vs PSV,lorenzo pirola,36,0,0
Francisco Ortega,32,DEF,Olympiacos vs PSV,francisco ortega,34,-2,2
Dani García,19,MID,Olympiacos vs PSV,dani garcía,17,2,2
Christos Mouzakitis,30,MID,Olympiacos vs PSV,christos mouzakitis,31,-1,1
Gelson Martins,41,FWD,Olympiacos vs PSV,gelson martins,42,-1,1
Chiquinho,36,MID,Olympiacos vs PSV,chiquinho,34,2,2
Daniel Podence,53,FWD,Olympiacos vs PSV,daniel podence,54,-1,1
Ayoub El Kaabi,25,FWD,Olympiacos vs PSV,ayoub el kaabi,24,1,1
Sergiño Dest,14,DEF,Olympiacos vs PSV,sergiño dest,13,1,1
Jerdy Schouten,33,DEF,Olympiacos vs PSV,jerdy schouten,34,-1,1
Yarek Gasiorowski,43,DEF,Olympiacos vs PSV,yarek gasiorowski,44,-1,1
Anass Salah-Eddine,18,DEF,Olympiacos vs PSV,anass salah-eddine,19,-1,1
Mauro Júnior,37,MID,Olympiacos vs PSV,mauro júnior,36,1,1
Joey Veerman,32,MID,Olympiacos vs PSV,joey veerman,31,1,1
Dennis Man,11,FWD,Olympiacos vs PSV,dennis man,10,1,1
Ismael Saibari,4,MID,Olympiacos vs PSV,ismael saibari,-2,6,6
Guus Til,13,FWD,Olympiacos vs PSV,guus til,14,-1,1
Achraf Hakimi,21,DEF,PSG vs Bayern Munich,achraf hakimi,16,5,5
Marquinhos,25,DEF,PSG vs Bayern Munich,marquinhos,21,4,4
Willian Pacho,10,DEF,PSG vs Bayern Munich,willian pacho,11,-1,1
Nuno Mendes,40,DEF,PSG vs Bayern Munich,nuno mendes,38,2,2
Warren Zaïre-Emery,37,MID,PSG vs Bayern Munich,warren zaïre-emery,37,0,0
Vitinha,41,MID,PSG vs Bayern Munich,vitinha,39,2,2
Bradley Barcola,23,FWD,PSG vs Bayern Munich,bradley barcola,18,5,5
Ousmane Dembélé,7,FWD,PSG vs Bayern Munich,ousmane dembélé,6,1,1
Khvicha Kvaratskhelia,35,FWD,PSG vs Bayern Munich,khvicha kvaratskhelia,35,0,0
Konrad Laimer,39,DEF,PSG vs Bayern Munich,konrad laimer,39,0,0
Jonathan Tah,30,DEF,PSG vs Bayern Munich,jonathan tah,31,-1,1
Dayot Upamecano,29,DEF,PSG vs Bayern Munich,dayot upamecano,30,-1,1
Joshua Kimmich,28,MID,PSG vs Bayern Munich,joshua kimmich,30,-2,2
Michael Olise,42,FWD,PSG vs Bayern Munich,michael olise,42,0,0
Serge Gnabry,22,MID,PSG vs Bayern Munich,serge gnabry,23,-1,1
Luis Díaz,47,FWD,PSG vs Bayern Munich,luis díaz,43,4,4
Harry Kane,23,FWD,PSG vs Bayern Munich,harry kane,23,0,0
Pedro Porro,49,DEF,Copenhagen vs Tottenham,pedro porro,46,3,3
Cristian Romero,39,DEF,Copenhagen vs Tottenham,cristian romero,34,5,5
Micky van de Ven,40,DEF,Copenhagen vs Tottenham,micky van de ven,41,-1,1
Destiny Udogie,28,DEF,Copenhagen vs Tottenham,destiny udogie,27,1,1
Rodrigo Bentancur,40,MID,Copenhagen vs Tottenham,rodrigo bentancur,40,0,0
Pape Matar Sarr,32,MID,Copenhagen vs Tottenham,pape matar sarr,32,0,0
Brennan Johnson,40,FWD,Copenhagen vs Tottenham,brennan johnson,36,4,4
Xavi Simons,45,MID,Copenhagen vs Tottenham,xavi simons,45,0,0
Wilson Odobert,48,FWD,Copenhagen vs Tottenham,wilson odobert,42,6,6
Randal Kolo Muani,40,FWD,Copenhagen vs Tottenham,randal kolo muani,38,2,2
Junnosuke Suzuki,5,DEF,Copenhagen vs Tottenham,junnosuke suzuki,6,-1,1
Gabriel Pereira,-5,DEF,Copenhagen vs Tottenham,gabriel pereira,-5,0,0
Pantelis Hatzidiakos,12,DEF,Copenhagen vs Tottenham,pantelis hatzidiakos,13,-1,1
Marcos López,19,DEF,Copenhagen vs Tottenham,marcos lópez,14,5,5
Jordan Larsson,12,MID,Copenhagen vs Tottenham,jordan larsson,12,0,0
Lukas Lerager,11,MID,Copenhagen vs Tottenham,lukas lerager,11,0,0
William Clem,16,MID,Copenhagen vs Tottenham,william clem,17,-1,1
Elias Achouri,6,MID,Copenhagen vs Tottenham,elias achouri,5,1,1
Youssoufa Moukoko,19,FWD,Copenhagen vs Tottenham,youssoufa moukoko,18,1,1
Mohamed Elyounoussi,16,FWD,Copenhagen vs Tottenham,mohamed elyounoussi,16,0,0
Derrick Luckassen,50,DEF,Pafos vs Villarreal,derrick luckassen,53,-3,3
David Luiz,23,DEF,Pafos vs Villarreal,david luiz,26,-3,3
David Goldar,29,DEF,Pafos vs Villarreal,david goldar,26,3,3
Ken Sema,40,DEF,Pafos vs Villarreal,ken sema,40,0,0
Domingos Quina,23,MID,Pafos vs Villarreal,domingos quina,23,0,0
Vlad Dragomir,7,FWD,Pafos vs Villarreal,vlad dragomir,7,0,0
Santiago Mouriño,43,DEF,Pafos vs Villarreal,santiago mouriño,46,-3,3
Juan Foyth,29,DEF,Pafos vs Villarreal,juan foyth,30,-1,1
Renato Veiga,31,DEF,Pafos vs Villarreal,renato veiga,33,-2,2
Sergi Cardona,24,DEF,Pafos vs Villarreal,sergi cardona,26,-2,2
Nicolas Pépé,28,MID,Pafos vs Villarreal,nicolas pépé,28,0,0
Pape Gueye,24,MID,Pafos vs Villarreal,pape gueye,24,0,0
Alberto Moleiro,14,MID,Pafos vs Villarreal,alberto moleiro,14,0,0
Ayoze Pérez,15,FWD,Pafos vs Villarreal,ayoze pérez,15,0,0
Georges Mikautadze,14,FWD,Pafos vs Villarreal,georges mikautadze,15,-1,1
Matheus Silva,33,DEF,Qarabag vs Chelsea,matheus silva,33,0,0
Kevin Medina,26,DEF,Qarabag vs Chelsea,kevin medina,28,-2,2
Pedro Bicalho,22,MID,Qarabag vs Chelsea,pedro bicalho,24,-2,2
Kady Borges,8,FWD,Qarabag vs Chelsea,kady borges,8,0,0
Leandro Andrade,36,FWD,Qarabag vs Chelsea,leandro andrade,32,4,4
Abdellah Zoubir,12,MID,Qarabag vs Chelsea,abdellah zoubir,11,1,1
Reece James,25,DEF,Qarabag vs Chelsea,reece james,26,-1,1
Tosin Adarabioyo,26,DEF,Qarabag vs Chelsea,tosin adarabioyo,29,-3,3
Jorrel Hato,17,DEF,Qarabag vs Chelsea,jorrel hato,10,7,7
Marc Cucurella,20,DEF,Qarabag vs Chelsea,marc cucurella,23,-3,3
Andrey Santos,26,MID,Qarabag vs Chelsea,andrey santos,26,0,0
Roméo Lavia,8,MID,Qarabag vs Chelsea,roméo lavia,8,0,0
João Pedro,11,MID,Qarabag vs Chelsea,joão pedro,11,0,0
Jamie Gittens,16,FWD,Qarabag vs Chelsea,jamie gittens,13,3,3
Tyrique George,12,FWD,Qarabag vs Chelsea,tyrique george,11,1,1
Anton Gaaei,11,DEF,Ajax vs Galatasaray,anton gaaei,23,-12,12
Youri Baas,11,DEF,Ajax vs Galatasaray,youri baas,17,-6,6
Owen Wijndal,15,DEF,Ajax vs Galatasaray,owen wijndal,16,-1,1
Davy Klaassen,25,MID,Ajax vs Galatasaray,davy klaassen,26,-1,1
Jorthy Mokio,18,MID,Ajax vs Galatasaray,jorthy mokio,18,0,0
Youri Regeer,9,FWD,Ajax vs Galatasaray,youri regeer,8,1,1
Oscar Gloukh,22,MID,Ajax vs Galatasaray,oscar gloukh,18,4,4
Mika Godts,17,FWD,Ajax vs Galatasaray,mika godts,18,-1,1
Wout Weghorst,12,FWD,Ajax vs Galatasaray,wout weghorst,14,-2,2
Wilfried Singo,48,DEF,Ajax vs Galatasaray,wilfried singo,48,0,0
Davinson Sánchez,32,DEF,Ajax vs Galatasaray,davinson sánchez,32,0,0
Ismail Jakobs,35,DEF,Ajax vs Galatasaray,ismail jakobs,34,1,1
Lucas Torreira,27,MID,Ajax vs Galatasaray,lucas torreira,31,-4,4
Mario Lemina,28,MID,Ajax vs Galatasaray,mario lemina,28,0,0
Leroy Sané,41,FWD,Ajax vs Galatasaray,leroy sané,37,4,4
Gabriel Sara,19,MID,Ajax vs Galatasaray,gabriel sara,18,1,1
Roland Sallai,30,FWD,Ajax vs Galatasaray,roland sallai,28,2,2
Victor Osimhen,71,FWD,Ajax vs Galatasaray,victor osimhen,59,12,12
Fredrik Aursnes,34,DEF,Benfica vs Leverkusen,fredrik aursnes,31,3,3
Tomás Araújo,43,DEF,Benfica vs Leverkusen,tomás araújo,41,2,2
Nicolás Otamendi,39,DEF,Benfica vs Leverkusen,nicolás otamendi,42,-3,3
Samuel Dahl,26,DEF,Benfica vs Leverkusen,samuel dahl,22,4,4
Enzo Barrenechea,30,MID,Benfica vs Leverkusen,enzo barrenechea,23,7,7
Richard Ríos,45,MID,Benfica vs Leverkusen,richard ríos,47,-2,2
Vangelis Pavlidis,11,FWD,Benfica vs Leverkusen,vangelis pavlidis,9,2,2
Jarell Quansah,29,DEF,Benfica vs Leverkusen,jarell quansah,29,0,0
Edmond Tapsoba,36,DEF,Benfica vs Leverkusen,edmond tapsoba,39,-3,3
Arthur,21,DEF,Benfica vs Leverkusen,arthur,22,-1,1
Ibrahim Maza,25,MID,Benfica vs Leverkusen,ibrahim maza,26,-1,1
Aleix García,25,MID,Benfica vs Leverkusen,aleix garcía,19,6,6
Claudio Echeverri,10,MID,Benfica vs Leverkusen,claudio echeverri,10,0,0
Ernest Poku,18,MID,Benfica vs Leverkusen,ernest poku,22,-4,4
Christian Kofane,6,FWD,Benfica vs Leverkusen,christian kofane,8,-2,2
Kyriani Sabbe,27,DEF,Club Brugge vs Barcelona,kyriani sabbe,27,0,0
Joel Ordóñez,16,DEF,Club Brugge vs Barcelona,joel ordóñez,17,-1,1
Brandon Mechele,17,DEF,Club Brugge vs Barcelona,brandon mechele,19,-2,2
Joaquin Seys,30,DEF,Club Brugge vs Barcelona,joaquin seys,31,-1,1
Raphael Onyedika,18,MID,Club Brugge vs Barcelona,raphael onyedika,16,2,2
Carlos Forbs,61,FWD,Club Brugge vs Barcelona,carlos forbs,58,3,3
Hans Vanaken,48,MID,Club Brugge vs Barcelona,hans vanaken,48,0,0
Christos Tzolis,52,FWD,Club Brugge vs Barcelona,christos tzolis,48,4,4
Jules Koundé,11,DEF,Club Brugge vs Barcelona,jules koundé,18,-7,7
Eric García,15,DEF,Club Brugge vs Barcelona,eric garcía,18,-3,3
Alejandro Balde,17,DEF,Club Brugge vs Barcelona,alejandro balde,24,-7,7
Frenkie de Jong,37,MID,Club Brugge vs Barcelona,frenkie de jong,39,-2,2
Lamine Yamal,69,FWD,Club Brugge vs Barcelona,lamine yamal,66,3,3
Marcus Rashford,28,FWD,Club Brugge vs Barcelona,marcus rashford,29,-1,1
Stefan de Vrij,36,DEF,Kairat vs Inter,stefan de vrij,44,-8,8
Carlos Augusto,43,DEF,Kairat vs Inter,carlos augusto,45,-2,2
Denzel Dumfries,15,DEF,Kairat vs Inter,denzel dumfries,18,-3,3
Davide Frattesi,21,MID,Kairat vs Inter,davide frattesi,21,0,0
Nicolò Barella,34,MID,Kairat vs Inter,nicolò barella,32,2,2
Federico Dimarco,53,DEF,Kairat vs Inter,federico dimarco,50,3,3
Lautaro Martínez,33,FWD,Kairat vs Inter,lautaro martínez,29,4,4
Aleksandr Shirobokov,33,DEF,Kairat vs Inter,aleksandr shirobokov,35,-2,2
Luís Mata,17,DEF,Kairat vs Inter,luís mata,22,-5,5
Damir Kasabulat,16,MID,Kairat vs Inter,damir kasabulat,18,-2,2
Ofri Arad,22,MID,Kairat vs Inter,ofri arad,20,2,2
Matheus Nunes,13,DEF,Man City vs Dortmund,matheus nunes,14,-1,1
John Stones,24,DEF,Man City vs Dortmund,john stones,22,2,2
Tijjani Reijnders,46,MID,Man City vs Dortmund,tijjani reijnders,42,4,4
Phil Foden,65,MID,Man City vs Dortmund,phil foden,64,1,1
Erling Haaland,44,FWD,Man City vs Dortmund,erling haaland,45,-1,1
Waldemar Anton,19,DEF,Man City vs Dortmund,waldemar anton,20,-1,1
Nico Schlotterbeck,9,DEF,Man City vs Dortmund,nico schlotterbeck,10,-1,1
Ramy Bensebaini,9,DEF,Man City vs Dortmund,ramy bensebaini,9,0,0
Julian Ryerson,21,DEF,Man City vs Dortmund,julian ryerson,21,0,0
Marcel Sabitzer,13,MID,Man City vs Dortmund,marcel sabitzer,12,1,1
Felix Nmecha,27,MID,Man City vs Dortmund,felix nmecha,29,-2,2
Daniel Svensson,7,DEF,Man City vs Dortmund,daniel svensson,4,3,3
Karim Adeyemi,20,MID,Man City vs Dortmund,karim adeyemi,16,4,4
Maximilian Beier,17,MID,Man City vs Dortmund,maximilian beier,16,1,1
Serhou Guirassy,14,FWD,Man City vs Dortmund,serhou guirassy,14,0,0
Kieran Trippier,41,DEF,Newcastle vs Athletic,kieran trippier,43,-2,2
Malick Thiaw,47,DEF,Newcastle vs Athletic,malick thiaw,50,-3,3
Sven Botman,34,DEF,Newcastle vs Athletic,sven botman,36,-2,2
Dan Burn,51,DEF,Newcastle vs Athletic,dan burn,52,-1,1
Bruno Guimarães,24,MID,Newcastle vs Athletic,bruno guimarães,24,0,0
Sandro Tonali,26,MID,Newcastle vs Athletic,sandro tonali,26,0,0
Joelinton,44,MID,Newcastle vs Athletic,joelinton,43,1,1
Harvey Barnes,30,FWD,Newcastle vs Athletic,harvey barnes,29,1,1
Nick Woltemade,20,FWD,Newcastle vs Athletic,nick woltemade,20,0,0
Anthony Gordon,5,FWD,Newcastle vs Athletic,anthony gordon,6,-1,1
Jesús Areso,30,DEF,Newcastle vs Athletic,jesús areso,30,0,0
Aitor Paredes,22,DEF,Newcastle vs Athletic,aitor paredes,22,0,0
Adama Boiro,22,DEF,Newcastle vs Athletic,adama boiro,23,-1,1
Alejandro Rego,17,MID,Newcastle vs Athletic,alejandro rego,19,-2,2
Mikel Jauregizar,10,MID,Newcastle vs Athletic,mikel jauregizar,9,1,1
Mikel Vesga,9,MID,Newcastle vs Athletic,mikel vesga,9,0,0
Unai Gómez,8,FWD,Newcastle vs Athletic,unai gómez,9,-1,1
Benjamin Pavard,30,DEF,Atalanta vs Marseille,benjamin pavard,32,-2,2
Nayef Aguerd,33,DEF,Atalanta vs Marseille,nayef aguerd,32,1,1
Ulisses Garcia,30,DEF,Atalanta vs Marseille,ulisses garcia,31,-1,1
Mason Greenwood,45,MID,Atalanta vs Marseille,mason greenwood,43,2,2
Matt O'Riley,22,MID,Atalanta vs Marseille,matt o'riley,23,-1,1
Igor Paixão,13,MID,Atalanta vs Marseille,igor paixão,12,1,1
Pierre-Emerick Aubameyang,24,FWD,Atalanta vs Marseille,pierre-emerick aubameyang,24,0,0
Odilon Kossounou,24,DEF,Atalanta vs Marseille,odilon kossounou,25,-1,1
Berat Djimsiti,37,DEF,Atalanta vs Marseille,berat djimsiti,37,0,0
Honest Ahanor,27,DEF,Atalanta vs Marseille,honest ahanor,29,-2,2
Raoul Bellanova,18,MID,Atalanta vs Marseille,raoul bellanova,20,-2,2
Éderson,29,MID,Atalanta vs Marseille,éderson,29,0,0
Marten de Roon,11,MID,Atalanta vs Marseille,marten de roon,11,0,0
Davide Zappacosta,19,MID,Atalanta vs Marseille,davide zappacosta,19,0,0
Charles De Ketelaere,27,FWD,Atalanta vs Marseille,charles de ketelaere,19,8,8
Ademola Lookman,11,FWD,Atalanta vs Marseille,ademola lookman,9,2,2
